Wall time,Step,Value
1713821978.921968,0,0.4072072207927704
1713822012.009501,1,0.4558558464050293
1713822045.202211,2,0.41081079840660095
1713822078.280524,3,0.40900900959968567
1713822111.340845,4,0.4378378391265869
1713822144.300098,5,0.4054054021835327
1713822177.469878,6,0.37837839126586914
1713822210.385908,7,0.3909910023212433
1713822243.345802,8,0.44144144654273987
1713822276.335588,9,0.40900900959968567
1713822309.229914,10,0.40900900959968567
1713822342.062571,11,0.39459457993507385
1713822374.938464,12,0.4072072207927704
1713822407.713041,13,0.3963963985443115
1713822440.354819,14,0.3747747838497162
1713822473.146432,15,0.41981983184814453
1713822505.84325,16,0.37837839126586914
1713822538.45487,17,0.3747747838497162
1713822571.059614,18,0.43423423171043396
1713822603.658704,19,0.43423423171043396
1713822636.243733,20,0.4486486613750458
1713822668.900417,21,0.4486486613750458
1713822701.461854,22,0.4486486613750458
1713822734.088719,23,0.4486486613750458
1713822766.695183,24,0.4486486613750458
1713822799.266384,25,0.4486486613750458
1713822831.790225,26,0.4486486613750458
1713822864.283752,27,0.4486486613750458
1713822896.910368,28,0.4486486613750458
1713822929.494835,29,0.4486486613750458
1713822962.046449,30,0.4486486613750458
1713822994.528862,31,0.4486486613750458
1713823027.174422,32,0.4486486613750458
1713823059.752543,33,0.4486486613750458
1713823092.331523,34,0.4486486613750458
1713823124.949654,35,0.4486486613750458
1713823157.64721,36,0.4486486613750458
1713823190.194219,37,0.4486486613750458
1713823222.728119,38,0.4486486613750458
1713823255.280106,39,0.4486486613750458
1713823287.825947,40,0.4486486613750458
1713823320.421521,41,0.4486486613750458
1713823352.929379,42,0.4486486613750458
1713823385.470123,43,0.4486486613750458
1713823418.140418,44,0.45225223898887634
1713823450.740457,45,0.45765766501426697
1713823483.506751,46,0.4612612724304199
1713823516.255179,47,0.47387388348579407
1713823548.842602,48,0.4792792797088623
1713823581.511863,49,0.4864864945411682
1713823614.120295,50,0.4882882833480835
1713823646.739156,51,0.4882882833480835
